Angle_deg,Ideal_dB,Uncalibrated_dB,LS_Calibrated_dB,WLS_Calibrated_dB
-28.35,-24.737936810972055,-16.7363911369755,-29.714509420318148,-29.492435090924708
-27.9,-22.543752361931503,-15.731269775478054,-26.77977432820708,-26.598588684744794
-27.449999999999996,-20.761003161786064,-14.802404180562956,-24.371697969241886,-24.228480074603254
-27.0,-19.256205269562138,-13.942687968516978,-22.38904500343168,-22.273705288348644
-26.549999999999997,-17.95223656889348,-13.144855614875329,-20.718009924146944,-20.62295098163495
-26.1,-16.800488687045576,-12.402179942052152,-19.27781882456032,-19.19787806242917
-25.64999999999999,-15.768342338064176,-11.708691105405059,-18.013517492974735,-17.945165580539204
-25.200000000000003,-14.832844016375045,-11.059192719558633,-16.887072650742496,-16.827831922533118
-24.75,-13.977229267791706,-10.449198825194618,-15.871410101381574,-15.819490136558107
-24.299999999999997,-13.188881031970322,-9.874846374188438,-14.946705067636973,-14.900776904788662
-23.849999999999994,-12.458066134382992,-9.332806545942645,-14.098064504669923,-14.057118002606597
-23.39999999999999,-11.777119103052216,-8.820203991869269,-13.314045108521263,-13.277296368534765
-22.950000000000003,-11.139895771613391,-8.334546754292798,-12.585679368298255,-12.552508964246673
-22.5,-10.541396261150526,-7.8736668797586775,-11.905817995592587,-11.875728671743037
-22.049999999999997,-9.977497995777208,-7.435670685689434,-11.26867468085917,-11.24126168328946
-21.599999999999994,-9.444762332444142,-7.018897330095161,-10.669503646465818,-10.644433461882027
-21.14999999999999,-8.940291716663305,-6.62188434915079,-10.104366505135054,-10.081361326111669
-20.700000000000003,-8.46162230616298,-6.243338967980678,-9.569960532378294,-9.548786706569754
-20.25,-8.00664199332703,-5.882114165362037,-9.063490041470143,-9.043949346570527
-19.799999999999997,-7.573526942208984,-5.537188644101882,-8.582568575238277,-8.564491533698055
-19.349999999999994,-7.160691839123575,-5.2076500105669865,-8.125143505651709,-8.108384195530302
-18.89999999999999,-6.766750448339404,-4.892680595346943,-7.689437179290523,-7.673869158646517
-18.450000000000003,-6.390484013629038,-4.591545453186648,-7.273900453169194,-7.259413524376452
-18.0,-6.030815705075435,-4.303582166827395,-6.877175629279057,-6.8636732447008155
-17.549999999999997,-5.686789774986936,-4.028192149367246,-6.498066603361133,-6.485463766311781
-17.099999999999994,-5.357554419164181,-3.764833196155049,-6.135514611809033,-6.123736164000935
-16.64999999999999,-5.04234758089055,-3.513013082655443,-5.788578366574642,-5.777557580064883
-16.200000000000003,-4.740485112139552,-3.2722840413249537,-5.456417661750738,-5.446095072944849
-15.75,-4.451350838110163,-3.0422379800854222,-5.138279750738155,-5.128602188416255
-15.299999999999997,-4.174388170059207,-2.822502328889861,-4.833487952381738,-4.824407722452181
-14.849999999999994,-3.909092986394027,-2.6127364202783205,-4.5414320638786725,-4.532906261651128
-14.399999999999991,-3.655007559412473,-2.412628325619211,-4.261560248576123,-4.253550175493882
-13.950000000000003,-3.41171534942945,-2.2218920816379377,-3.9933721357104144,-3.9858428021969745
-13.5,-3.17883652256558,-2.0402652524165275,-3.736412922215928,-3.7293326219380245
-13.049999999999997,-2.9560240755731977,-1.8675067807556087,-3.490268307932243,-3.4836082516247617
-12.599999999999994,-2.7429604724917915,-1.7033950899813508,-3.2545601277651452,-3.2482941269962575
-12.149999999999991,-2.5393547149668967,-1.5477264032407647,-3.028942569749286,-3.023046762770197
-11.700000000000003,-2.344939781713652,-1.4003132522872273,-2.8130988881034362,-2.8075515013331187
-11.25,-2.1594703836016134,-1.2609831518978043,-2.6067385364524425,-2.6015196762741803
-10.799999999999997,-1.982720989747835,-1.1295774195321975,-2.409594659310564,-2.404686129764885
-10.349999999999994,-1.8144840872649024,-1.005950122758811,-2.221421890360705,-2.2168070330550997
-9.899999999999991,-1.654568643257406,-0.889967139433627,-2.041994414547087,-2.037657967702398
-9.450000000000003,-1.5027987425550926,-0.7815053176998308,-1.8711042579277017,-1.8670322319722281
-9.0,-1.3590123787197212,-0.6804517246451087,-1.7085597749211563,-1.7047393424476103
-8.549999999999997,-1.2230603792271564,-0.5867029739613401,-1.5541843072750383,-1.5506037055099056
-8.099999999999994,-1.0948054485340426,-0.5001646242407707,-1.4078149929717902,-1.4044634371842184
-7.6499999999999915,-0.9741213150926706,-0.4207506406497976,-1.2693017065256218,-1.2661693130347975
-7.200000000000003,-0.8608919703592767,-0.34838291367472174,-1.1385061148309914,-1.1355838324651122
-6.75,-0.7550109895162804,-0.2829908294582027,-1.0153008349959776,-1.012580384019302
-6.299999999999997,-0.6563809250511949,-0.22451088696065546,-0.8995686825103076,-0.8970425001729252
-5.849999999999994,-0.5649127655471128,-0.17288635780452033,-0.7912019997201147,-0.7888631917021376
-5.3999999999999915,-0.48052545307747413,-0.1280669852053304,-0.6901020559606007,-0.6879443530823177
-4.950000000000003,-0.40314545348997083,-0.0900087188741541,-0.596178511874845,-0.5941962315297132
-4.5,-0.3327063746350293,-0.05867348320087984,-0.5093489414557816,-0.5075369532964871
-4.049999999999997,-0.26914862826305397,-0.03402897640644672,-0.4295384062168299,-0.4278921016878506
-3.5999999999999943,-0.21241913189787925,-0.016048498690983362,-0.35667907664730536,-0.3551943420123039
-3.1499999999999915,-0.1624710475056992,-0.004710807711302057,-0.2907098967611254,-0.28938308932125517
-2.700000000000003,-0.11926355423044935,0.0,-0.23157628811685976,-0.2304042153578542
-2.25,-0.08276165286813023,-0.0019054171953137244,-0.17922989018717958,-0.17820979163003334
-1.7999999999999972,-0.052936000112391815,-0.010421576189287182,-0.13362833439788088,-0.1327578659605583
-1.3499999999999943,-0.029762770928720806,-0.025548122526770883,-0.09473504954953774,-0.09401227025637471
-0.8999999999999915,-0.013223547711431177,-0.04728980660183159,-0.06251909668758052,-0.06194245758937071
-0.45000000000000284,-0.0033052351516046365,-0.07565648240549154,-0.03695503180525834,-0.03652336699694507
0.0,0.0,-0.11066312878203363,-0.018022795055252547,-0.017735314700143272
0.45000000000000284,-0.0033052351516046365,-0.15232989335386093,-0.005707625414721439,-0.00556391070463497
0.9000000000000057,-0.013223547711433109,-0.20068215947984,0.0,0.0
1.3500000000000085,-0.029762770928720806,-0.25575063682278476,-0.0008955974655112791,-0.0010396278103798884
1.7999999999999972,-0.052936000112391815,-0.3175714763210253,-0.008395285150662362,-0.008684028578072961
2.25,-0.08276165286813023,-0.3861864105908174,-0.022505129862146655,-0.022939638585223292
2.700000000000003,-0.11926355423044935,-0.46164292103419036,-0.043236432401031435,-0.04381813234059333
3.1500000000000057,-0.16247104750570018,-0.543994433194798,-0.07060578616778326,-0.07133648308252753
3.6000000000000085,-0.21241913189788025,-0.6333005421975453,-0.10463516040736534,-0.10551704797894211
4.049999999999997,-0.26914862826305397,-0.729627270430747,-0.14535200889501776,-0.1463876788443409
4.5,-0.3327063746350293,-0.8330473599891631,-0.19278940511457976,-0.1939818594465925
4.950000000000003,-0.40314545348997083,-0.9436406027986954,-0.24698620525028636,-0.24833887074671254
5.400000000000006,-0.4805254530774772,-1.0614942117975676,-0.30798724060401417,-0.3095039857080655
5.8500000000000085,-0.5649127655471169,-1.1867032370632618,-0.37584354136870013,-0.3775286956326104
6.299999999999997,-0.6563809250511949,-1.3193710313611293,-0.45061259404105947,-0.45247097033716577
6.75,-0.7550109895162804,-1.459609770262229,-0.5323586351496541,-0.5343955548792502
7.200000000000003,-0.8608919703592767,-1.607541032750355,-0.6211529844160247,-0.6233743059880985
7.650000000000006,-0.974121315092674,-1.7632964491304925,-0.7170744209666557,-0.7194865718614751
8.100000000000009,-1.094805448534046,-1.927018424084892,-0.8202096067825952,-0.8228196195642861
8.549999999999997,-1.2230603792271564,-2.0988609439263617,-0.9306535622256455,-0.9334691149242562
9.0,-1.3590123787197212,-2.2789904785035553,-1.048510199230329,-1.0515396605790304
9.450000000000003,-1.5027987425550926,-2.4675869898594693,-1.1738929186187295,-1.17714539870727
9.900000000000006,-1.654568643257413,-2.664845061680871,-1.3069252790036068,-1.310410685997041
10.350000000000009,-1.814484087264907,-2.8709751658610565,-1.447741745921425,-1.4514708495960285
10.799999999999997,-1.982720989747835,-3.086205085204024,-1.5964885312151873,-1.6004730341842233
11.25,-2.1594703836016134,-3.3107815145133253,-1.753324534308286,-1.7575771519526158
11.700000000000003,-2.344939781713652,-3.544971866142898,-1.9184223989254665,-1.9229569492126783
12.150000000000006,-2.5393547149669033,-3.789066310676464,-2.0919697010884555,-2.096801205664462
12.600000000000009,-2.742960472491798,-4.043380088914533,-2.274170286918422,-2.27931508509471
13.049999999999997,-2.9560240755731977,-4.308256137995009,-2.4652457820124516,-2.4707216595589334
13.5,-3.17883652256558,-4.584068082518168,-2.6654372980468413,-2.6712636330454185
13.950000000000003,-3.41171534942945,-4.871223651320463,-2.8750073669480236,-2.88120529537967
14.400000000000006,-3.6550075594124816,-5.170168592462111,-3.0942421386549226,-3.100834742900502
14.850000000000009,-3.909092986394035,-5.4813911735872525,-3.3234538854181133,-3.3304664094730048
15.299999999999997,-4.174388170059207,-5.805427372751395,-3.562983864054698,-3.5704439600181366
15.75,-4.451350838110163,-6.1428668869353755,-3.813205598005665,-3.821143609344828
16.200000000000003,-4.740485112139552,-6.494360112853491,-4.074528653946324,-4.0829779422009
16.650000000000006,-5.042347580890566,-6.860626288679816,-4.347403003762261,-4.356400326810723
17.10000000000001,-5.35755441916419,-7.2424630276828985,-4.632324082816586,-4.641910034654505
17.549999999999997,-5.686789774986936,-7.640757527641057,-4.929838680786515,-4.940058205080756
18.0,-6.030815705075435,-8.056499805992878,-5.240551833519753,-5.251454826149518
18.450000000000003,-6.390484013629038,-8.4907983932243,-5.565134925484766,-5.576776945062701
18.900000000000006,-6.766750448339414,-8.944899019826611,-5.904335265359251,-5.916778375618018
19.35000000000001,-7.160691839123588,-9.420206959437564,-6.258987466085129,-6.272301240396701
19.799999999999997,-7.573526942208984,-9.91831384634901,-6.630027050815946,-6.644289777509829
20.25,-8.00664199332703,-10.441029971358294,-7.018506825290041,-7.033806963597202
20.700000000000003,-8.46162230616298,-10.990423272369371,-7.42561671618008,-7.442054667610795
21.150000000000006,-8.940291716663324,-11.56886645831365,-7.852707989521161,-7.870398269816942
21.60000000000001,-9.44476233244416,-12.179093890023548,-8.3013230560896,-8.320396980807995
22.049999999999997,-9.977497995777208,-12.82426987758599,-8.773232474993417,-8.793841510607391
22.5,-10.541396261150526,-13.508069687728215,-9.270481332648037,-9.292801319766497
22.950000000000003,-11.139895771613391,-14.234773230913213,-9.79544797750865,-9.819684511104402
23.400000000000006,-11.777119103052245,-15.009367900465447,-10.350919248397156,-10.37731461369088
23.85000000000001,-12.45806613438301,-15.83764869733346,-10.940188029939078,-10.96903026077451
24.299999999999997,-13.188881031970322,-16.726284681060307,-11.567181497407201,-11.598816377255554
24.75,-13.977229267791706,-17.682777678820884,-12.236632257741725,-12.271479472684101
25.200000000000003,-14.832844016375045,-18.71514205680883,-12.954310560680632,-12.992885824776861
25.650000000000006,-15.768342338064205,-19.83091558748604,-13.727345223608518,-13.770291178680035
26.10000000000001,-16.800488687045608,-21.034624325783575,-14.564676297402478,-14.612806604356566
26.549999999999997,-17.95223656889348,-22.32179221270102,-15.477708095709058,-15.532071856212328
27.0,-19.256205269562138,-23.665736892374845,-16.481274769657553,-16.543253102283252
27.450000000000003,-20.761003161786086,-24.99191779075808,-17.595106018232872,-17.666560779210826
27.900000000000006,-22.54375236193155,-26.142478866624344,-18.84611106440141,-18.92961972771599
28.35000000000001,-24.737936810972123,-26.8744238898222,-20.2720130929712,-20.37124541917281
28.799999999999997,-27.606605346500977,-26.981611360456185,-21.92712756744143,-22.04743571153553
29.25,-31.794748197280555,-26.482552864581006,-23.890764412511153,-24.039938708400484
29.700000000000003,-39.86241199973872,-25.6010022087223,-26.272951594628108,-26.460856179938027
30.150000000000006,-45.99498809703168,-24.57188317251545,-29.164408977594366,-29.390523587576563
30.60000000000001,-34.06886945517142,-23.539759376758344,-32.159653813123676,-32.32529635323108
31.049999999999997,-29.326287439446553,-22.57050216448214,-32.90522983034365,-32.76962272341981
31.5,-26.349518076047996,-21.68656039363425,-30.509736303338343,-30.247053376295963
31.950000000000003,-24.19500518801388,-20.890643934773706,-27.685460711025218,-27.45041216241434
32.400000000000006,-22.518904849518893,-20.17761704558046,-25.34468505844183,-25.14972382561828
32.85000000000001,-21.15673700346628,-19.539833988577303,-23.462768526393024,-23.298722657709668
33.3,-20.016926678720374,-18.969376488003277,-21.923305007457337,-21.781834733731394
33.75,-19.043213017399854,-18.458912801837013,-20.636517761638462,-20.511779879325537
34.2,-18.198542331154933,-18.00196293139083,-19.54063987765413,-19.428627066200505
34.650000000000006,-17.457211356511987,-17.592917965946306,-18.593078359728167,-18.490987099271155
35.10000000000001,-16.80065771090638,-17.226966100798066,-17.7637277013272,-17.669541565511434
35.55,-16.215037377784025,-16.89999111877911,-17.030707698750515,-16.942936264090818
36.0,-15.689749696510919,-16.60847062157459,-16.377694813000446,-16.295208794861736
36.45,-15.216497234981928,-16.349384260487906,-15.792223496080272,-15.714148223046774
36.900000000000006,-14.788663447966863,-16.120134802295183,-15.2645772116088,-15.190221956805171
37.35000000000001,-14.400887343120157,-15.91848178470417,-14.7870449631637,-14.71585483610599
37.8,-14.04876475476746,-15.742486377277782,-14.353410101101744,-14.284932500667702
38.25,-13.72863353311806,-15.590465777240738,-13.958590568517481,-13.892451270832542
38.70000000000002,-13.437415861971648,-15.460955536723484,-13.598380323531385,-13.534266095571962
39.150000000000006,-13.172500392052545,-15.352678412555864,-13.269259907256824,-13.206905636250323
39.599999999999994,-12.931652705170753,-15.264518551947674,-12.968255259400827,-12.907434269106279
40.05000000000001,-12.712946312804307,-15.19550003611637,-12.692830843877761,-12.633347500528632
40.5,-12.514708786513557,-15.144768984776132,-12.440807598314159,-12.382491588676514
40.95000000000002,-12.33547920660178,-15.111578574855528,-12.210299129368636,-12.15300097826315
41.400000000000006,-12.173974191794537,-15.09527644914597,-11.99966151342644,-11.943249032621795
41.849999999999994,-12.029060515295978,-15.095294088674358,-11.807453377098183,-11.751808822869767
42.30000000000001,-11.89973283350229,-15.111137800469637,-11.632403839431348,-11.577421615562578
42.75,-11.785095424677763,-15.142381033664611,-11.473386533918715,-11.41897131898337
43.20000000000002,-11.684347102873948,-15.188657784541766,-11.32939838087081,-11.275463588789949
43.650000000000006,-11.596768668419417,-15.249656887568754,-11.19954210689418,-11.1460086116595
44.099999999999994,-11.521712401443068,-15.325117016470834,-11.083011746286353,-11.029806817835158
44.55000000000001,-11.45859321352696,-15.41482223822623,-10.979080534945961,-10.926136945131748
45.0,-11.406881154729138,-15.518597974357512,-10.887090738602783,-10.834346005184845
